Name,Mileage,Dealer Name,Rating,Review Count,Price
2020 Mercedes-Benz GLC 300 Base,"27,453 mi.",Mercedes-Benz - Chevrolet of San Luis Obispo,3.2,27 ,"$45,293"
2019 Mercedes-Benz GLC 350e Base 4MATIC,"36,262 mi.",Mercedes-Benz of Owings Mills,4.9,"2,057 ","$40,990"
2019 Mercedes-Benz G-Class G 550 4MATIC,"19,086 mi.",Aristocrat Motors,4.8,"1,288 ","$182,975"
2019 Mercedes-Benz CLA 250 4MATIC,"25,424 mi.",Bobby Rahal Motorcar Company,4.5,104 ,"$33,550"
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"22,426 mi.",Mercedes-Benz of Pittsburgh,4.5,76 ,"$73,980"
2021 Mercedes-Benz S-Class S 580 4MATIC,"5,449 mi.",Mercedes-Benz of Hilton Head,4.6,149 ,"$134,643"
2021 Mercedes-Benz GLS 580 Base 4MATIC,"21,777 mi.",Euro Motorcars Inc,4.6,575 ,"$123,881"
2019 Mercedes-Benz GLS 450 Base 4MATIC,"28,922 mi.",Contemporary Motor Cars Inc.,4.7,150 ,"$64,998"
2019 Mercedes-Benz C-Class C 300 4MATIC,"20,576 mi.",Mercedes-Benz of Fredericksburg,4.6,300 ,"$55,500"
2020 Mercedes-Benz AMG CLA 35 Base 4MATIC,"23,421 mi.",Coppus Motors,4.8,92 ,"$52,997"
2019 Mercedes-Benz CLA 250 Base,"41,213 mi.",W.I. Simonson Inc.,4.5,772 ,"$28,466"
2018 Mercedes-Benz SL 450 Base,"33,830 mi.",Mercedes-Benz of Fort Lauderdale,4.6,917 ,"$76,265"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"17,771 mi.",Mercedes-Benz of St. Charles,4.8,552 ,"$63,893"
2019 Mercedes-Benz AMG GLC 43 Base 4MATIC,"24,319 mi.",Mercedes-Benz of Milwaukee North,4.8,305 ,"$56,935"
2019 Mercedes-Benz AMG G 63 Base,"25,504 mi.",Mercedes-Benz of Houston Greenway,4.7,"1,847 ","$216,898"
2019 Mercedes-Benz S-Class S 560 4MATIC,"17,877 mi.",Motor Werks - Barrington Auto Mall,4.8,"4,716 ","$81,999"
2020 Mercedes-Benz GLC 300 Base 4MATIC,"24,302 mi.",Mercedes-Benz of Walnut Creek,4.6,836 ,"$45,599"
